CURRUCUCU SUCURSAL EL REFUGIO. 137DS8GA3HCR,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 0:00 AM, sábado 12 de julio de 2025 y 0:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 2:53 PM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
1,7FwSjyxeaJCqHqPhIOHo,-,Paquete Currucucu,PAQUETES ,-,4671," $700,650.00 "
2,AVOjCcO3JR7Pfm63GVxC,-,DSV COMIDA,PAQUETES ,-,6654," $926,236.80 "
3,1619020699155-CON 1 GUISO,-,Quesadillas CON 1 GUISO,DE NUESTRO COMAL,-,1746," $88,122.50 "
4,1619020699155,-,Quesadillas CON 1 GUISO,DE NUESTRO COMAL,-,1506," $78,689.50 "
5,1619020699148,-,Chilaquiles DE POLLO,MENU ,-,398," $49,798.00 "
6,1619020699158,-,Agua Del Dia,Bebidas ,-,313," $12,842.00 "
7,1619020699159,-,JUGO DE NARANJA,Bebidas ,-,381," $19,050.00 "
8,1619020699151-CON 1 GUISO,-,Gorditas CON 1 GUISO,DE NUESTRO COMAL,-,1181," $60,775.00 "
9,1619020699151,-,Gorditas CON 1 GUISO,DE NUESTRO COMAL,-,966," $50,095.50 "
10,1619020699156,-,Huaraches ESPECIAL,DE NUESTRO COMAL,-,138," $18,234.50 "
11,1619020699140,-,Huevos A LA MEXICANA,MENU ,-,89," $11,110.25 "
12,1619020699146,-,Enchiladas SUIZAS DE POLLO,MENU ,-,177," $29,665.00 "
13,qsBr39LxFbNkid7B3EC0,-,Flautas DE PAPA,MENU ,-,280," $34,894.50 "
14,1619020699152,-,Sopes CON 1 GUISO,DE NUESTRO COMAL,-,379," $24,183.00 "
15,1619020699153,-,Tacos CON 1 GUISO,DE NUESTRO COMAL,-,606," $22,846.00 "
16,cDOu9zXVilEPeqZqBpPe-CAFE DE OLLA,-,Cafe CAFE DE OLLA,Bebidas ,-,119," $4,970.00 "
17,1619020699148-DE POLLO,-,Chilaquiles DE POLLO,MENU ,-,238," $32,905.00 "
18,cDOu9zXVilEPeqZqBpPe,-,Cafe CAFE DE OLLA,Bebidas ,-,114," $4,868.00 "
19,SwP7Q2haoxpylRPzmSJ1,-,Enfrijoladas CON POLLO,MENU ,-,118," $17,594.00 "
20,1619020699146-SUIZAS DE POLLO,-,Enchiladas SUIZAS DE POLLO,MENU ,-,89," $16,249.00 "
21,1619020699153-CON 1 GUISO,-,Tacos CON 1 GUISO,DE NUESTRO COMAL,-,605," $21,415.00 "
22,c1qAnoYpyV3DX20hkTyM,-,Refrescos COCA COLA REGULAR,Bebidas ,-,119," $5,008.00 "
23,yCQJ7J7zTuUbi1Kwugqc,-,POZOLE GRANDE,MENU ,-,249," $41,697.00 "
24,1619020699145,-,Tortas LA OAXAQUEÑA,MENU ,-,261," $36,575.00 "
25,pTKvqqI4U29dIE1EbDPX,-,JUGO VERDE,Bebidas ,-,92," $5,980.00 "
26,qsBr39LxFbNkid7B3EC0-DE POLLO,-,Flautas DE POLLO,MENU ,-,135," $19,752.00 "
27,1619020699156-ESPECIAL,-,Huaraches ESPECIAL,DE NUESTRO COMAL,-,75," $12,224.00 "
28,1619020699148-CON HUEVO,-,Chilaquiles CON HUEVO,MENU ,-,91," $10,531.00 "
29,1619020699145-MILANESA DE POLLO,-,Tortas MILANESA DE POLLO,MENU ,-,194," $27,970.00 "
30,1619020699152-CON 1 GUISO,-,Sopes CON 1 GUISO,DE NUESTRO COMAL,-,193," $11,874.00 "
31,1619020699148-DEL PATRON,-,Chilaquiles DEL PATRON,MENU ,-,62," $13,405.00 "
32,1619020699145-MILANESA DE RES,-,Tortas MILANESA DE RES,MENU ,-,140," $20,435.00 "
33,gbOah8De7GNBMzoTw88H,-,Pozole MEDIANO DE POLLO,MENU ,-,40," $5,789.25 "
34,VeExibmVqcPTOmN649ps,-,BOING LATA,Bebidas ,-,62," $2,480.00 "
35,Wh1wAF5AgfU6yHfx2PuD,-,TORTA DE MILANESA RES O POLLO CHICA,MENU ,-,173," $18,832.00 "
36,4osdU6kzbL0R88sAiRwD,-,VENTA 23 DE AGOSTO,PAQUETES ,-,1," $19,082.00 "
37,SwP7Q2haoxpylRPzmSJ1-CON POLLO,-,Enfrijoladas CON POLLO,MENU ,-,69," $9,470.00 "
38,qsBr39LxFbNkid7B3EC0-MIXTAS,-,Flautas MIXTAS,MENU ,-,51," $7,982.25 "
39,1619020699146-DE POLLO,-,Enchiladas DE POLLO,MENU ,-,73," $11,931.00 "
40,1619020699140-OMELETTE DE JAMON Y QUESO,-,Huevos OMELETTE DE JAMON Y QUESO,MENU ,-,9," $1,312.25 "
41,"1619020699156-ESPECIAL BISTEC, POLLO O CHORIZO",-,"Huaraches ESPECIAL BISTEC, POLLO O CHORIZO",DE NUESTRO COMAL,-,58," $8,150.00 "
42,1619020699156-CON COSTILLA,-,Huaraches CON COSTILLA,DE NUESTRO COMAL,-,30," $5,550.00 "
43,ffy6ApJNChB4gtdy6rpQ,-,BACALAO 1KG,MENU NAVIDEÑO,-,26," $24,050.00 "
44,1619020699140-A LA MEXICANA,-,Huevos A LA MEXICANA,MENU ,-,41," $4,016.50 "
45,1619020699148-CON CECINA,-,Chilaquiles CON CECINA,MENU ,-,55," $9,530.00 "
46,1619020699156-CON 1 GUISO,-,Huaraches CON 1 GUISO,DE NUESTRO COMAL,-,71," $6,844.75 "
47,9pkEXghxcivPiSOBuXQ7,-,Consome de Pollo Mediano,MENU ,-,88," $12,780.00 "
48,1sheNbZa2HDWuTsktQ6D,-,EVENTO DSV,PAQUETES ,-,1," $23,200.00 "
49,1619020699148-ARRACHERA,-,Chilaquiles ARRACHERA,MENU ,-,31," $5,440.00 "
50,yKMWcbdkYHud43EBGd1c,-,EVENTO TAQUIZA DSV,DE NUESTRO COMAL,-,1," $20,880.00 "
51,qsBr39LxFbNkid7B3EC0-DE RES,-,Flautas DE RES,MENU ,-,60," $9,421.00 "
52,oGnkTKWQpQpsOK3nibt7,-,Gorditas,-,-,284," $19,788.00 "
53,1619020699142,-,Molletes LOS SENCILLOS,MENU ,-,34," $5,062.00 "
54,umizRSSg8KCMju1ntqzd,-,CHILE EN NOGADA(MEDIANO),PAQUETES ,-,20," $6,500.00 "
55,n16nyWRrB8z1eLD3NrCd,-,Quesadillas,-,-,273," $18,291.00 "
56,ui2KWuWo1Hs616GtaWu8,-,Principal S / Guarnición,PAQUETES ,-,220," $17,190.00 "
57,jM7eH7kBIHRWZ56V7G7a,-,Chocolate,Bebidas ,-,16, $960.00 
58,jsaGJrrqgh1AIwntdFyp,-,Principal C / Guarnición,PAQUETES ,-,117," $12,875.00 "
59,1619020699148-SENCILLOS,-,Chilaquiles SENCILLOS,MENU ,-,90," $7,550.00 "
60,1619020699155-SENCILLA,-,Quesadillas SENCILLA,DE NUESTRO COMAL,-,134," $5,374.00 "
61,1619020699140-RANCHEROS,-,Huevos RANCHEROS,MENU ,-,10," $1,291.00 "
62,1619020699161,-,Botella de Agua,Bebidas ,-,18, $540.00 
63,1619020699152-SENCILLO,-,Sopes SENCILLO,DE NUESTRO COMAL,-,97," $5,042.50 "
64,1619020699151-ESPECIAL,-,Gorditas ESPECIAL,DE NUESTRO COMAL,-,81," $5,780.00 "
65,1619020699140-DIVORCIADOS,-,Huevos DIVORCIADOS,MENU ,-,7, $805.00 
66,2zr7OUBEd1gLXl2bLhgu,-,EVENTO 24 ENERO,DE NUESTRO COMAL,-,1," $14,500.00 "
67,RJuP7a3JMQTzwOSD66Co,-,Entrada,PAQUETES ,-,202," $8,080.00 "
68,1619020699155-ESPECIAL,-,Quesadillas ESPECIAL,DE NUESTRO COMAL,-,69," $4,830.00 "
69,"1619020699155-ESPECIAL BISTEC, POLLO O CHORIZO",-,"Quesadillas ESPECIAL BISTEC, POLLO O CHORIZO",DE NUESTRO COMAL,-,56," $3,640.00 "
70,1619020699148-BISTEC,-,Chilaquiles BISTEC,MENU ,-,22," $3,080.00 "
71,u23DcSEiwKt3tBmNCsSQ,-,LOMO MECHADO ENSALSA DE SIDRA,MENU NAVIDEÑO,-,31," $13,950.00 "
72,gbOah8De7GNBMzoTw88H-MEDIANO DE CERDO,-,POZOLE MEDIANO MEDIANO DE CERDO,MENU ,-,24," $3,120.00 "
73,gbOah8De7GNBMzoTw88H-MEDIANO DE POLLO,-,POZOLE MEDIANO MEDIANO DE POLLO,MENU ,-,30," $4,050.00 "
74,9pkEXghxcivPiSOBuXQ7-Grande,-,Consome de Pollo Grande,MENU ,-,66," $10,560.00 "
75,Wzerzzv6G0FZTmvv0mUs,-,PAQUETE 1,MENU NAVIDEÑO,-,8," $12,800.00 "
76,1619020699150,-,Milanesas Y Pechugas MILANESA DE POLLO,MENU ,-,64," $8,750.00 "
77,1619020699150-MILANESA DE POLLO,-,Milanesas Y Pechugas MILANESA DE POLLO,MENU ,-,55," $7,455.00 "
78,SwP7Q2haoxpylRPzmSJ1-OAXAQUEÑAS,-,Enfrijoladas OAXAQUEÑAS,MENU ,-,6," $1,160.00 "
79,fXemmMBCLw5uBj1DJHdh,-,EVENTO,PAQUETES ,-,19," $10,110.00 "
80,1619020699152-ESPECIAL BISTEC O POLLO O CHORIZO,-,Sopes ESPECIAL BISTEC O POLLO O CHORIZO,DE NUESTRO COMAL,-,43," $3,305.00 "
81,c1qAnoYpyV3DX20hkTyM-PEÑAFIEL,-,Refrescos PEÑAFIEL,Bebidas ,-,11, $440.00 
82,xguL4K22SVq91tAyETTD,-,Chilaquiles Con Cecina,-,-,51," $11,322.00 "
83,n4uCd9znJ0ugO5rpIpds,-,GUISADO CON 1 GUARNICION,MENU ,-,21," $2,415.00 "
84,qX6ngB8e61E3AWiXgOmk,-,ROMERITOS,MENU NAVIDEÑO,-,14," $10,990.00 "
85,1619020699148-SUIZOS DE POLLO,-,Chilaquiles SUIZOS DE POLLO,MENU ,-,16," $2,645.00 "
86,9pkEXghxcivPiSOBuXQ7-Mediano,-,Consome de Pollo Mediano,MENU ,-,42," $5,460.00 "
87,N7TPggqishErhAnyozx7,-,Flautas De Pollo,-,-,66," $10,692.00 "
88,fzZeQSaLMxRbSgO6lnco,-,Torta De Milanesa,-,-,68," $10,404.00 "
89,qsBr39LxFbNkid7B3EC0-DE PAPA,-,Flautas DE PAPA,MENU ,-,36," $3,771.00 "
90,yqK9edAwyROCvyTdk2ZJ,-,Enmoladas de Pollo,MENU ,-,14," $2,170.00 "
91,ok8ew0yLeSxnDA0EpG37,-,LASAÑA DE CARNE DE RES,MENU NAVIDEÑO,-,24," $9,960.00 "
92,SwP7Q2haoxpylRPzmSJ1-CON CECINA,-,Enfrijoladas CON CECINA,MENU ,-,11," $1,875.00 "
93,1619020699151-SENCILLA,-,Gorditas SENCILLA,DE NUESTRO COMAL,-,86," $3,440.00 "
94,1619020699142-LOS SENCILLOS,-,Molletes LOS SENCILLOS,MENU ,-,26," $2,990.00 "
95,cM5RVsP5DulQtBn3N25R,-,ENSALADA DE MANZANA CON PIÑA Y NUEZ,MENU NAVIDEÑO,-,30," $9,300.00 "
96,SwP7Q2haoxpylRPzmSJ1-CON 2 HUEVOS,-,Enfrijoladas CON 2 HUEVOS,MENU ,-,5, $556.50 
97,1619020699152-ESPECIAL CECINA O ARRACHERA O CARNITAS,-,Sopes ESPECIAL CECINA O ARRACHERA O CARNITAS,DE NUESTRO COMAL,-,24," $1,920.00 "
98,1619020699145-ARRACHERA,-,Tortas ARRACHERA,MENU ,-,43," $6,895.00 "
99,c1qAnoYpyV3DX20hkTyM-COCA COLA REGULAR,-,Refrescos COCA COLA REGULAR,Bebidas ,-,27," $1,094.00 "
100,VPw1CXomr0lIwEsrlVUo,-,Arroz 1/2 Lt,EXTRAS,-,161," $8,050.00 "
101,uPQaW3lRxsFIDxspiDnm,-,POZOLE DSV,PAQUETES ,-,1," $8,410.00 "
102,FuMWRrs6LE7QnnDqjsp1,-,PAQUETE 2,MENU NAVIDEÑO,-,6," $8,400.00 "
103,1619020699146-SUIZAS DE QUESO,-,Enchiladas SUIZAS DE QUESO,MENU ,-,10," $1,520.00 "
104,uoihQ4JJCy16HyIpwcJB,-,PARRILLADA,MENU ,-,12," $2,860.00 "
105,1619020699156-CON 2 GUISOS,-,Huaraches CON 2 GUISOS,DE NUESTRO COMAL,-,4, $500.00 
106,rap5l8CbZGoZ518JrPZ1,-,chilaquiles arrieros,MENU ,-,17," $2,975.00 "
107,PTueIXoEDUG2Mef9jYNv,-,Quesadillas,-,-,119," $7,973.00 "
108,DaSd17dZInI4EtvslHcK,-,CONTENEDOR P/LLEVAR GDE,EXTRAS,-,1424," $7,120.00 "
109,c1qAnoYpyV3DX20hkTyM-COCA COLA ZERO,-,Refrescos COCA COLA ZERO,Bebidas ,-,17, $694.00 
110,1iZHMHeS3gucL8Q1rtsb,-,Chilaquiles Con Pollo,-,-,36," $7,524.00 "
111,1619020699148-ARRIEROS,-,Chilaquiles ARRIEROS,MENU ,-,11," $1,925.00 "
112,awVhgNznadD7dPa0PkDM,-,Cecina,MENU ,-,30," $4,390.00 "
113,1619020699149-MILANESA DE POLLO,-,Tecolota MILANESA DE POLLO,MENU ,-,17," $3,070.00 "
114,iZHy6V9XeTl78zp3AiLq,-,PASTA EN SALSA DE QUESO,MENU NAVIDEÑO,-,24," $7,080.00 "
115,rGBiBFk0CDU830j9SBLU,-,Tacos Del Comal,-,-,145," $7,005.00 "
116,cDOu9zXVilEPeqZqBpPe-AMERICANO,-,Cafe AMERICANO,Bebidas ,-,2, $80.00 
117,Cm5juCLybmDHr5myb7Kz,-,SIDRAL,Bebidas ,-,11, $440.00 
118,1619020699140-CON JAMÓN,-,Huevos CON JAMÓN,MENU ,-,6, $690.00 
119,1619020699149,-,Tecolota MILANESA DE POLLO,MENU ,-,15," $2,100.00 "
120,1YUDJGjNQXN0MdTrbc9J,-,Torta De Milanesa,-,-,43," $6,579.00 "
121,1619020699151-MIXTA,-,Gorditas MIXTA,DE NUESTRO COMAL,-,44," $2,380.00 "
122,RkBVIiC4Ubk5g9ThOy4m,-,Huevos A La Mexicana,-,-,49," $6,272.00 "
123,7GG8z9fPB8bME1w9xDhL,-,Gorditas,-,-,91," $6,227.00 "
124,1619020699150-MILANESA DE RES,-,Milanesas Y Pechugas MILANESA DE RES,MENU ,-,27," $3,915.00 "
125,1619020699150-PECHUGA A LA PLANCHA,-,Milanesas Y Pechugas PECHUGA A LA PLANCHA,MENU ,-,24," $3,060.00 "
126,c1qAnoYpyV3DX20hkTyM-REGULAR,-,COCA COLA REGULAR,Bebidas ,-,17, $680.00 
127,c1qAnoYpyV3DX20hkTyM-ZERO,-,COCA COLA ZERO,Bebidas ,-,14, $560.00 
128,eeqHVkbQWB3skP47d2Ar,-,Arrachera,MENU ,-,9," $1,655.00 "
129,038D0pNP1CFT0fNPCtlZ,-,TACOS CAMPECHANOS,MENU ,-,13," $2,340.00 "
130,jWFkb70dMvJxd0I9Zk1e,-,Pozole Grande,-,-,31," $5,642.00 "
131,IcaofON9YheLoH94geHr,-,Enchiladas Verdes De Pollo,-,-,29," $5,597.00 "
132,SwP7Q2haoxpylRPzmSJ1-SENCILLAS,-,Enfrijoladas SENCILLAS,MENU ,-,26," $2,235.00 "
133,c1qAnoYpyV3DX20hkTyM-COCA COLA LIGHT,-,Refrescos COCA COLA LIGHT,Bebidas ,-,11, $496.00 
134,SwP7Q2haoxpylRPzmSJ1-CON ARRACHERA,-,Enfrijoladas CON ARRACHERA,MENU ,-,9," $1,575.00 "
135,jGey4nS29SbF2YLZMUXl,-,Extra de Guiso de Comal,EXTRAS,-,29, $725.00 
136,nhLoAC2UY2ppZzbB3ls4-MANGO,-,BOING MANGO,Bebidas ,-,12, $480.00 
137,D7bubpe0c7QDUnBKdU9x,-,Proteina 100 Gr (para Platillo),EXTRAS,-,25," $1,875.00 "
138,PY2IaFCpZs0bGeRsGqoz,-,Café De Olla,-,-,95," $5,130.00 "
139,1619020699155-CON 2 GUISOS,-,Quesadillas CON 2 GUISOS,DE NUESTRO COMAL,-,14, $840.00 
140,jU3SHidT0xN6Iik6Vmn4-MINERAL,-,PEÑAFIEL MINERAL,Bebidas ,-,3, $120.00 
141,SAedQ52mHVynvF3D8Auq,-,FRIJOLES CON TOTOPOS,EXTRAS,-,14, $630.00 
142,1619020699142-CON CHORIZO,-,Molletes CON CHORIZO,MENU ,-,4, $680.00 
143,VkpM1feQtz6zg2l96G3u,-,Bistec o pechuga a La Plancha,MENU ,-,18," $2,660.00 "
144,1619020699168,-,Obleas de Amaranto,DE LA TIENDITA ,-,46," $1,840.00 "
145,c1qAnoYpyV3DX20hkTyM-CHAPARRITA,-,Refrescos CHAPARRITA,Bebidas ,-,32, $960.00 
146,yPmwzynvhI8C4FxkunRf,-,Flautas Mixtas,-,-,25," $4,550.00 "
147,1619020699140-OMELETTE LIGERO CON GUISO,-,Huevos OMELETTE LIGERO CON GUISO,MENU ,-,1, $160.00 
148,SwP7Q2haoxpylRPzmSJ1-JUANA GALLO,-,Enfrijoladas JUANA GALLO,MENU ,-,4, $860.00 
149,1619020699142-CON ARRACHERA,-,Molletes CON ARRACHERA,MENU ,-,3, $585.00 
150,1619020699156-SENCILLO,-,Huaraches SENCILLO,DE NUESTRO COMAL,-,23," $1,535.00 "
151,pk7e51ajojBz2DVniIoo,-,Enfrijoladas Con Pollo,-,-,20," $4,320.00 "
152,1619020699145-CECINA,-,Tortas CECINA,MENU ,-,22," $3,520.00 "
153,1619020699142-CON CON BISTEC,-,Molletes CON CON BISTEC,MENU ,-,18," $3,060.00 "
154,1619020699140-CON TOCINO,-,Huevos CON TOCINO,MENU ,-,3, $392.00 
155,1619020699154,-,Tacos ORDEN CECINA,MENU ,-,16," $1,074.00 "
156,1619020699140-REVUELTOS,-,Huevos REVUELTOS,MENU ,-,11," $1,026.25 "
157,wkU2sHldo4I9FOg1I8bU,-,PKT MARIACHI,PAQUETES ,-,2," $3,960.00 "
158,ZHgQktd8drHU2XJrjIrw,-,Rusa,Bebidas ,-,2, $100.00 
159,1619020699145-LA DEL CAZO,-,Tortas LA DEL CAZO,MENU ,-,12," $1,940.00 "
160,1619020699140-ESTRELLADOS,-,Huevos ESTRELLADOS,MENU ,-,4, $345.00 
161,c1qAnoYpyV3DX20hkTyM-LIGHT,-,COCA COLA LIGHT,Bebidas ,-,10, $400.00 
162,1619020699145-POLLO O CHORIZO,-,Tortas POLLO O CHORIZO,MENU ,-,22," $3,190.00 "
163,mz6Mm4rUsCPjSC37ab0Z,-,Refresco,-,-,70," $3,780.00 "
164,SwP7Q2haoxpylRPzmSJ1-RANCHERAS,-,Enfrijoladas RANCHERAS,MENU ,-,6," $1,050.00 "
165,8P7HACnKHLjwnZCnYzvv,-,Huevos Con Chorizo,-,-,20," $3,640.00 "
166,6pYpM70U7ggrawRa7bg4,-,PAQUETE 3,MENU NAVIDEÑO,-,3," $3,600.00 "
167,WjXVPHMEceTFOPBLOlp5,-,Agua Del Día,-,-,71," $3,550.00 "
168,A0XEC9bS5jpfnJpReIMF,-,EVENTO DE TACOS 26 DIC,PAQUETES ,-,1," $3,415.00 "
169,SwP7Q2haoxpylRPzmSJ1-CHORIZO,-,Enfrijoladas CHORIZO,MENU ,-,4, $560.00 
170,3eidOMlkoIdjHq0Zf8xm,-,SPRITE,Bebidas ,-,5, $200.00 
171,D70tnZtN3bFPVMUgNCQ3,-,TAMPIQUEÑA RES,PAQUETES ,-,7," $1,435.00 "
172,eBiMpZPvI3eJzCdN6P5N,-,Pozole Mediano,-,-,19," $3,268.00 "
173,ER5SyDZCvEFwywnAShJu,-,BACALAO 1/2 KG,MENU NAVIDEÑO,-,7," $3,240.50 "
174,1619020699149-MILANESA DE RES,-,Tecolota MILANESA DE RES,MENU ,-,3, $540.00 
175,oHQmEMls5GOqUqd3ZgKp,-,Sope,-,-,46," $3,212.00 "
176,1619020699151-CON 2 GUISOS,-,Gorditas CON 2 GUISOS,DE NUESTRO COMAL,-,24," $1,491.00 "
177,KJoFvtyhuFE2J1cwnUwM,-,Huarache,-,-,24," $3,147.00 "
178,cDPljD1d2jGHxkaRqJKV,-,Aguacate,EXTRAS,-,12, $360.00 
179,1619020699153-CON 2 GUISOS,-,Tacos CON 2 GUISOS,DE NUESTRO COMAL,-,13, $520.00 
180,bAWPnTlmdFFQsnD6vLeC,-,Huevos Divorciados,-,-,19," $3,078.00 "
181,7ZK9PWF7C8dP0HU5Auk5,-,Enfrijoladas Con Cecina,-,-,13," $3,068.00 "
182,0rrUZv1V7MUoKQzbbFeT,-,PAQUETE HOY NO COCINAS DE POLLO O CERDO,PAQUETES ,-,8," $3,040.00 "
183,V9Ue3JmJaWbFH56UPG7T,-,Huarache Especial,-,-,14," $3,024.00 "
184,2rk6XGUFjzkEiCFCDO5g,-,Enfrijoladas Oaxaqueñas,-,-,14," $3,010.00 "
185,JBYV2zhObdw41Z3bw2t9,-,MENUDO,PAQUETES ,-,4, $920.00 
186,zboiSpxLJ5ecx0LHd2wA,-,Flautas De Res,-,-,17," $2,975.00 "
187,yysYWpfJ0wUfg5wWtxFS,-,PECHUGAS RELLENAS,MENU NAVIDEÑO,-,7," $2,975.00 "
188,HKlBSEJvmXOxJfNbSu2s,-,1KG PASTEL DE CARNE,DE NUESTRO COMAL,-,8," $2,930.00 "
189,h8sJ7bdJoarCWujFzzfu,-,CALDO DE CAMARON,PAQUETES ,-,8," $1,800.00 "
190,y9hu3EWzzic837bvbjHZ,-,Flautas De Papa,-,-,24," $2,904.00 "
191,mm2VFtz1U6lbvaE8ch0N,-,Chilaquiles Del Patrón,-,-,10," $2,900.00 "
